                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4892,                   3.24,                 1.3492,                0.48441,                0.14062,                0.25864,                0.14185,                 1.3872,                 3.7745,                 1.2183,             0.00065409,             0.00065409,             0.00065409
                      1,                 1.5968,                 2.8731,                   1.43,                0.69021,                0.42188,                0.52171,                0.25387,                  1.572,                 3.2837,                 1.3674,              0.0012881,              0.0012881,              0.0012881
                      2,                 1.6267,                 2.7861,                 1.5312,                0.77116,                0.57921,                 0.6975,                 0.2913,                 1.8109,                 3.0737,                 1.7559,               0.001889,               0.001889,               0.001889
                      3,                 1.6661,                 2.6067,                 1.5495,                0.56388,                0.65625,                0.68054,                0.31708,                 1.6758,                 3.8682,                 1.6569,              0.0018515,              0.0018515,              0.0018515
                      4,                 1.7089,                 2.5873,                 1.5346,                0.26122,                0.70312,                0.31109,                0.14259,                 1.6484,                 4.3389,                 1.6092,              0.0018515,              0.0018515,              0.0018515
                      5,                 1.6924,                 2.2695,                 1.4916,                0.86877,                0.62069,                0.74904,                0.37014,                 1.6294,                 3.2168,                 1.4894,               0.001802,               0.001802,               0.001802
                      6,                 1.6257,                 2.3065,                 1.4341,                0.71625,                    0.5,                0.62451,                0.30664,                 1.7528,                 2.8864,                  1.582,              0.0017525,              0.0017525,              0.0017525
                      7,                 1.7184,                 2.0669,                  1.524,                0.58478,                 0.7482,                0.63745,                0.27526,                 1.6329,                 2.9826,                   1.53,               0.001703,               0.001703,               0.001703
                      8,                   1.69,                 2.4769,                 1.4475,                0.75095,                0.37696,                0.48129,                0.23104,                 1.7154,                 2.3202,                  1.581,              0.0016535,              0.0016535,              0.0016535
                      9,                 1.6815,                 1.9325,                 1.4972,                0.71137,                0.73172,                0.73098,                0.37543,                 1.5014,                 2.0069,                 1.3852,               0.001604,               0.001604,               0.001604
                     10,                 1.6729,                 1.8921,                 1.4746,                0.57666,                 0.8125,                0.58937,                0.28497,                 1.7277,                 1.9706,                 1.5823,              0.0015545,              0.0015545,              0.0015545
                     11,                 1.6276,                 1.8085,                 1.4879,                0.64456,                0.82812,                 0.6618,                0.33111,                 1.6783,                  2.021,                 1.5366,               0.001505,               0.001505,               0.001505
                     12,                 1.5664,                 1.6916,                 1.4254,                0.67816,                0.72439,                0.65882,                0.33308,                 1.5591,                  1.844,                 1.4524,              0.0014555,              0.0014555,              0.0014555
                     13,                 1.6355,                 1.5579,                  1.492,                0.62308,                 0.6875,                0.59193,                0.28521,                 1.6779,                 1.9204,                 1.5239,               0.001406,               0.001406,               0.001406
                     14,                  1.494,                  1.533,                 1.3901,                0.58573,                 0.8125,                0.70183,                0.32394,                 1.7801,                 1.6931,                 1.5832,              0.0013565,              0.0013565,              0.0013565
                     15,                 1.5415,                 1.5118,                 1.3653,                0.76858,                 0.8125,                0.77746,                0.40842,                  1.558,                 1.5296,                 1.4225,               0.001307,               0.001307,               0.001307
                     16,                 1.4802,                 1.2726,                 1.3336,                0.57041,                0.85938,                 0.6128,                0.32298,                 1.4468,                 1.7545,                 1.3361,              0.0012575,              0.0012575,              0.0012575
                     17,                 1.5021,                 1.3707,                 1.3691,                0.72531,                0.79688,                 0.7047,                0.36171,                 1.5469,                 1.6404,                 1.4161,               0.001208,               0.001208,               0.001208
                     18,                 1.5086,                  1.433,                 1.4289,                0.70366,                0.78125,                0.77797,                0.40677,                 1.5764,                 1.4806,                 1.4183,              0.0011585,              0.0011585,              0.0011585
                     19,                 1.4682,                 1.3855,                 1.3958,                0.60094,                 0.6824,                0.59919,                0.31445,                 1.5869,                 1.6474,                 1.4254,               0.001109,               0.001109,               0.001109
                     20,                  1.488,                 1.3219,                 1.3708,                 0.7347,                0.90625,                0.82498,                0.45511,                 1.5439,                 1.3284,                 1.3927,              0.0010595,              0.0010595,              0.0010595
                     21,                 1.3726,                 1.3084,                 1.2909,                0.84499,                0.76661,                0.87295,                0.48167,                 1.5523,                 1.2434,                 1.3506,                0.00101,                0.00101,                0.00101
                     22,                 1.5145,                 1.2422,                 1.3355,                0.76475,                0.89062,                0.88408,                0.50558,                  1.474,                 1.2853,                 1.2922,              0.0009605,              0.0009605,              0.0009605
